,2008,2009,2010,2011,2012
Single,64896521,62819226,64846356,67294506,66655855
Joint,56455157,56178626,56128977,56013790,56458434
HH,21098890,21496275,21916717,22061944,21814184
SS_return,24066883,24589713,25422847,25837226,26480552
Dep_return,96361984,98027256,99097034,99345455,97912393
INTS,223291064,168001234,139611242,120111673,111789613
DIVS,219330668,163458846,183539268,194609806,260393306
SCHCI,324880224,308887694,322775121,337210620,356450905
SCHCL,60645941,63904867,55509536,54240803,52259366
CGNS,495146902,263099445,393628206,402566646,644856734
Pension,506269008,523295800,558540932,581180358,612544219
SCHEI,654437180,596140934,632393926,661331485,777023944
SCHEL,236381603,211188176,186659441,175315530,163765597
SS,415587419,457087273,477855868,490699539,526514454
UCOMP,43674694,83538098,120249961,92383693,71234134
WAGE_1,23883454,24117745,23024443,21437416,20445434
WAGE_2,98632349,92095026,91197071,92961755,93108807
WAGE_3,254845415,256072903,258538706,265080549,262184682
WAGE_4,378494522,370132580,370136849,373549061,371577702
WAGE_5,420337671,409416983,409400177,410623212,408353008
WAGE_6,406847030,389507608,393259205,391671646,391349650
WAGE_7,935297197,906062360,890711967,900170384,902783183
WAGE_8,794320811,779929943,784109315,791646425,798324358
WAGE_9,1431970077,1420675682,1446167263,1521442934,1599743841
WAGE_10,666055096,633228399,678302347,750627685,806518068
WAGE_11,209788740,186865034,206877573,230634407,259165177
WAGE_12,209982459,160489009,190048714,207661489,247106515
WAGE_13,120180008,78495214,95576734,97882471,140697169