,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
US Population,304093966.0000,306771529.0000,309347057.0000,311721632.0000,314112078.0000,316497531.0000,318857056.0000,321368864.0000,323995528.0000,326625791.0000,329256465.0000,331883986.0000,334503458.0000,337108968.0000,339698079.0000,342267302.0000,344814299.0000,347334912.0000,349825585.0000
POP_DEP,83118264.0000,83280391.0000,83185431.0000,82840576.0000,82503131.0000,82296428.0000,82135602.0000,82109509.0000,82178228.0000,82284937.0000,82410728.0000,82547300.0000,82624346.0000,82772040.0000,83023463.0000,83259014.0000,83463249.0000,83673850.0000,83868421.0000
POP_SNR,38777621.0000,39623175.0000,40479353.0000,41366628.0000,43164909.0000,44723041.0000,46243211.0000,47830245.0000,49420383.0000,51055052.0000,52766466.0000,54556914.0000,56441027.0000,58292098.0000,60221375.0000,62126945.0000,63987872.0000,65919552.0000,67748101.0000
Single Returns,64896521.0000,62819226.0000,64846356.0000,67294506.0000,66655855.0000,68563354.0000,69579590.0000,70458742.5406,71568950.2758,72800801.2156,73939806.6986,74939283.0610,75822240.0355,76718243.7656,77577194.7098,78445762.6198,79324055.1688,80212181.2356,81110250.9180
Joint Returns,56455157.0000,56178626.0000,56128977.0000,56013790.0000,56458434.0000,56796607.0000,55128595.0000,55825156.2236,56704784.7555,57680792.3975,58583237.6688,59375132.6425,60074708.1567,60784620.7439,61465176.0436,62153350.9601,62849230.8040,63552901.8410,64264451.3025
Head of Household Returns,21098890.0000,21496275.0000,21916717.0000,22061944.0000,21814184.0000,21991339.0000,22077498.0000,22356451.7630,22708718.9875,23099583.4157,23460988.1218,23778120.4503,24058281.3543,24342581.9741,24615125.8013,24890721.0771,25169401.9660,25451203.0152,25736159.1585
Number of Returns w/ Gross Security Income,24066883.0000,24589713.0000,25422847.0000,25837226.0000,26480552.0000,27070833.0000,27401498.0000,28341897.8562,29284136.9933,30252763.0546,31266864.5040,32327797.6924,33444232.2454,34541087.7018,35684284.2643,36813433.2013,37916128.8482,39060749.3128,40144259.3174
Number of Dependent Exemptions,96361984.0000,98027256.0000,99097034.0000,99345455.0000,97912393.0000,97691386.0000,96916673.0000,96885884.3202,96966969.9480,97092882.2322,97241310.5010,97402459.9118,97493371.0612,97667643.9800,97964312.9041,98242253.5132,98483242.5146,98731743.1374,98961329.0115
Taxable Interest Income,223291064.0000,168001234.0000,139611242.0000,120111673.0000,111789613.0000,100648711.0000,93894280.0000,94637068.8510,97658705.0507,101805341.8402,106002459.4255,112276501.1767,121363044.4025,132591415.6743,143394305.9539,153613061.3118,162490469.8126,170459223.9908,178456824.3379
Ordinary Dividends,219330668.0000,163458846.0000,183539268.0000,194609806.0000,260393306.0000,214972683.0000,254702232.0000,271161836.6921,277939320.9771,287340347.5659,296897537.3871,307110612.7843,316636569.9590,325943898.6085,336000810.7733,347088400.2717,359331597.6898,372667937.7344,387284816.2845
Business Income (Schedule C),324880224.0000,308887694.0000,322775121.0000,337210620.0000,356450905.0000,357363490.0000,374659000.0000,392350820.3390,408536325.4237,426257681.3559,442945291.5254,457713088.1356,472392277.9661,489670600.0000,508514308.4746,528952938.9831,550691135.5932,573728898.3051,597800406.7797
Business Loss (Schedule C),60645941.0000,63904867.0000,55509536.0000,54240803.0000,52259366.0000,55290946.0000,57400238.0000,60110741.9466,62590468.4285,65305497.4234,67862149.7269,70124673.8893,72373622.9067,75020776.1767,77907757.0080,81039090.4487,84369526.0158,87899063.7091,91586978.0938
Net Capital Gains in AGI,495146902.0000,263099445.0000,393628206.0000,402566646.0000,644856734.0000,504322768.0000,705007630.0000,820623854.5276,893512343.9037,902309230.5526,911106117.2014,909849419.1087,926186494.3137,951320456.1676,981481210.3922,1016668756.9875,1055626397.8610,1098354133.0125,1142338566.2567
Taxable Pensions and Annuities,506269008.0000,523295800.0000,558540932.0000,581180358.0000,612544219.0000,638659076.0000,663223262.0000,692854413.8492,722092890.8758,753339877.0528,785480536.9642,816921603.8008,851120421.4034,888740474.8175,928680469.1380,969171110.9109,1011300154.5302,1054629790.1361,1100035637.4481
Supplemental Income (Schedule E),654437180.0000,596140934.0000,632393926.0000,661331485.0000,777023944.0000,780713118.0000,846331543.0000,820201378.1334,799705530.0661,802114404.6398,809953454.0998,818813213.1248,823059364.9157,839472374.7225,866255793.7108,904022047.6196,947340961.5625,997274073.4873,1051412508.8203
Supplemental Loss (Schedule E),236381603.0000,211188176.0000,186659441.0000,175315530.0000,163765597.0000,167171652.0000,166947674.0000,161793227.9891,157750209.3993,158225384.8909,159771718.6942,161519398.0448,162356995.5215,165594631.9221,170877939.0833,178327724.3334,186872829.3609,196722653.5349,207402021.3637
Gross Social Security Income,415587419.0000,457087273.0000,477855868.0000,490699539.0000,526514454.0000,553542772.0000,575126918.0000,604369263.4440,628833986.2521,656099384.3985,700086461.7706,750910481.8803,804535177.3283,858736482.4048,917962528.5294,982460434.1143,1051488843.9229,1122906065.0496,1199183281.6162
Unemployment Compensation,43674694.0000,83538098.0000,120249961.0000,92383693.0000,71234134.0000,51923279.0000,33288898.0000,30324818.0411,23712639.6712,22876617.1187,24548662.2237,27588744.2329,31464848.7945,33288898.0000,34808939.0046,36480984.1096,38457037.4155,40281086.6210,42029133.7763
IPD,497617809.0000,442051459.0000,393957879.0000,383565099.0000,354057732.0000,317317182.0000,307962385.0000,321721371.9304,335298023.4666,349807310.0651,364731566.8710,379330973.2621,395210919.0308,412679488.1191,431225303.0996,450026806.7938,469589089.2018,489708856.8380,510792696.6734
Wages and Salaries: Zero or Less,23883454.0000,24117745.0000,23024443.0000,21437416.0000,20445434.0000,20280688.0000,19421543.0000,20349012.7111,21308947.7578,22238235.5277,23143628.8104,23984610.8671,24851824.9151,25811759.9618,26827275.6634,27886944.2215,28985830.9052,30126532.9413,31311907.2794
"Wages and Salaries: $1 Less Than $10,000",98632349.0000,92095026.0000,91197071.0000,92961755.0000,93108807.0000,94466204.0000,94899140.0000,99431018.7470,104121532.2862,108662294.5816,113086301.6697,117195577.3300,121433029.9024,126123543.4417,131085639.7454,136263479.3667,141632949.8171,147206741.8800,152998815.4171
"Wages and Salaries: $10,000 Less Than $20,000",254845415.0000,256072903.0000,258538706.0000,265080549.0000,262184682.0000,266041138.0000,261995646.0000,274507166.1244,287456642.0079,299992687.6549,312206397.8632,323551203.8455,335249878.0812,348199353.9647,361898610.1077,376193486.0830,391017412.6152,406405426.1650,422396066.8394
"Wages and Salaries: $20,000 Less Than $30,000",378494522.0000,370132580.0000,370136849.0000,373549061.0000,371577702.0000,380567075.0000,381259619.0000,399466552.8502,418310805.8634,436553429.5867,454326986.4060,470836102.0058,487860171.4894,506704424.5026,526639767.9230,547441865.4052,569013844.4363,591406690.5494,614676487.8309
"Wages and Salaries: $30,000 Less Than $40,000",420337671.0000,409416983.0000,409400177.0000,410623212.0000,408353008.0000,408654349.0000,418567676.0000,438556244.4425,459244496.7426,479272247.4812,498785030.9006,516909641.5466,535599596.7495,556287849.0496,578173960.1138,601011641.2243,624694540.4347,649278632.4537,674825489.4606
"Wages and Salaries: $40,000 Less Than $50,000",406847030.0000,389507608.0000,393259205.0000,391671646.0000,391349650.0000,410049846.0000,418379915.0000,438359516.9747,459038488.9429,479057255.6373,498561286.0164,516677766.3284,535359337.5951,556038309.5634,577914602.9605,600742039.5488,624414315.0893,648987379.1814,674522776.3846
"Wages and Salaries: $50,000 Less Than $75,000",935297197.0000,906062360.0000,890711967.0000,900170384.0000,902783183.0000,915963625.0000,916618937.0000,960391787.6249,1005696871.8897,1049555527.5984,1092286459.3481,1131977439.5563,1172906464.5455,1218211548.8103,1266139817.0666,1316151923.0732,1368014967.3167,1421851528.4885,1477796443.1488
"Wages and Salaries: $75,000 Less Than $100,000",794320811.0000,779929943.0000,784109315.0000,791646425.0000,798324358.0000,822009437.0000,840581301.0000,880722998.1017,922269823.2173,962490207.4878,1001676417.5400,1038074853.6127,1075608633.1205,1117155458.2361,1161107862.5116,1206971240.8860,1254532013.9012,1303902591.7983,1355206625.8426
"Wages and Salaries: $100,000 Less Than $200,000",1431970077.0000,1420675682.0000,1446167263.0000,1521442934.0000,1599743841.0000,1665691829.0000,1759304940.0000,1843319997.1123,1930275934.1290,2014455680.5159,2096470939.2931,2172651492.3397,2251208276.3492,2338164213.3660,2430154936.7793,2526145256.8627,2625688159.8708,2729018916.1959,2836396323.2697
"Wages and Salaries: $200,000 Less Than $500,000",666055096.0000,633228399.0000,678302347.0000,750627685.0000,806518068.0000,872227137.0000,955295796.0000,1000915647.9286,1048132386.3011,1093841663.8705,1138375633.0173,1179741379.4594,1222397410.1481,1269614148.5206,1319564756.4850,1371687130.0130,1425738542.3652,1481846744.4572,1540152262.2959
"Wages and Salaries: $500,000 Less Than $1 Million",209788740.0000,186865034.0000,206877573.0000,230634407.0000,259165177.0000,272996984.0000,310372311.0000,325194043.6297,340534599.1601,355385385.8722,369854318.9294,383293907.3513,397152704.6771,412493260.2076,428722040.5442,445656420.0258,463217537.5717,481446899.0137,500390160.7672
Wages and Salaries: $1 Million and Over,330162467.0000,238984223.0000,285625448.0000,305543960.0000,387803684.0000,346432571.0000,408251028.0000,427746928.1443,447925266.6862,467459383.3807,486491225.4146,504169109.6675,522398404.1457,542576742.6876,563923415.7663,586198205.0659,609297379.9498,633275535.4898,658192726.2651
