INT,ODIV,QDIV,BIZ
4688264,4713140,3095521,-8287987
541622,999149,639115,2836970
770262,1442485,859292,11990777
1002678,1876844,1137469,22132182
1147555,1798693,1137002,14556107
1125760,1957918,1234331,10372683
1340811,1960817,1183817,9243160
2096189,4116883,2794332,15956819
1900496,4673360,2996252,13332856
5955852,14387800,9906058,28063051
5013047,14339274,9921453,25009982
13390182,43136765,31985381,66676016
12725861,44531293,34400475,60723838
6814230,24570303,19243443,22953218
3825975,10497137,8124591,6770746
2582189,7490783,5750856,3743423
7098608,19187445,14940470,6606643
4547632,11314258,8846877,2419024
17327068,41707885,34250973,2159257