,2008,2009,2010,2011,2012,2013,2014
Single1,1530402,1507123,1689134,1563091,1296321,1310275,1254622
Single2,18747716,17419686,17324120,18278381,17753933,18105324,17768322
Single3,12886776,13442530,13968377,14221711,14147166,14213869,14011952
Single4,9212878,8923050,9359154,9752339,9490523,9757115,10062283
Single5,6971566,6639094,6959798,7032475,6884473,6993094,7262868
Single6,4871506,4678990,4865645,4973871,4951418,5250523,5431272
Single7,6236492,6084288,6171363,6592040,6730748,7131645,7406959
Single8,2221940,2122498,2316734,2517798,2673273,2889547,3078839
Single9,1732412,1600840,1729062,1865403,2147042,2302831,2605763
Single10,375018,319065,370573,397964,453971,490746,558277
Single11,69405,53464,58750,63675,78147,76247,89936
Single12,40411,28597,33646,35759,48840,42138,48496
Joint1,841153,893908,781947,780372,752218,730039,697095
Joint2,2293391,2446404,2277954,2246533,2130828,2107142,2040652
Joint3,4117315,4378113,4338608,4190805,3930874,3784250,3602517
Joint4,4708559,5003299,4910289,4721720,4730152,4530215,4281270
Joint5,4661229,4776794,4666236,4765527,4567319,4420711,4228737
Joint6,4462751,4382393,4354513,3974111,4160524,4205095,4055048
Joint7,11001424,10697349,10488813,10197927,10206854,10034394,9832499
Joint8,8894848,8704759,8769162,8667631,8484178,8620843,8581461
Joint9,11679718,11457192,11802911,12375824,12954655,13548985,14246270
Joint10,3023581,2813067,3040322,3314133,3594302,3889760,4315281
Joint11,497543,422476,464847,520492,620434,629427,716306
Joint12,273644,202874,233375,258718,326095,295746,352358
HH1,118433,110894,83089,107462,80008,72699,82422
HH2,2737239,2801881,2639394,2554640,2451556,2426035,2243727
HH3,5773968,6024096,6222243,6393373,6169730,6126761,6006774
HH4,4688393,4769930,4865913,4724260,4682435,4647471,4537073
HH5,2921484,2955760,2987262,3013490,2999359,3059801,3108071
HH6,1752866,1735030,1771865,1744578,1761729,1823777,1986394
HH7,1958545,1913255,2066993,2159311,2217512,2254679,2402363
HH8,612698,636468,719487,740972,776697,872308,918297
HH9,439211,464016,465678,514538,544952,573630,649219
HH10,78148,68995,74952,89544,105839,107605,114834
HH11,17907,10539,13812,13358,15059,18577,18882
HH12,0,5410,6031,6416,9306,7998,9443
SS_return1,934798,904926,1029551,897511,844253,855457,847885
SS_return2,3819393,4043507,3885943,3953369,3838910,3855101,3867262
SS_return3,4301171,4531270,4568752,4522818,4383110,4348660,4240374
SS_return4,2813008,2960681,3001464,3021180,3133487,2964166,2912320
SS_return5,2110022,2160800,2195495,2172934,2217595,2342509,2143351
SS_return6,1671025,1737094,1746101,1759509,1778376,1769566,1800355
SS_return7,3460135,3488595,3650118,3781578,3880356,3925642,4068738
SS_return8,2137363,2134766,2339325,2450315,2592455,2809282,2875405
SS_return9,2139563,2068445,2333276,2539104,2935564,3262263,3538251
SS_return10,532839,450609,541591,593094,683473,762615,894496
SS_return11,90978,70804,83500,94845,118294,114758,138160
SS_return12,56587,38217,47730,50969,74678,60813,74899
Dep_return,96361984,98027256,99097034,99345455,97912393,97691386,96916673
INTS1,11147886,10146461,7334566,6650566,5352850,5498824,4688264
INTS2,5117580,4794259,3648686,2692067,2186297,1560681,1311884
INTS3,9457994,8573525,6177655,5046764,3607956,2762734,2150233
INTS4,8918098,7535166,5784616,4453989,3342956,2795641,2466571
INTS5,8547298,7073003,5135235,4202142,3099336,2570678,2096189
INTS6,8515369,6945983,4816299,4143277,3213452,2470257,1900496
INTS7,22548213,17789757,12864476,9762845,8207663,6436264,5955852
INTS8,18442746,13371783,10693890,8804139,7258960,6541807,5013047
INTS9,35728753,27383438,20329225,17545274,14743049,13814525,13390182
INTS10,27559203,19821252,16260707,15037876,13959386,13316556,12725861
INTS11,14442938,10082356,9259771,8308330,7993170,7678930,6814230
INTS12,52864986,34484249,37306116,33464404,38824538,35201814,35381472
DIVS1,5345297,4720328,4033720,5045922,4687343,4568581,4713140
DIVS2,3482964,3367440,2990717,3047364,2865930,2582609,2441634
DIVS3,4858891,5103679,4609860,5009216,4540395,4095402,3675537
DIVS4,4809679,4433957,4066899,5812919,5824905,4245133,3918735
DIVS5,4659018,4326528,4012666,5072753,4694329,4353101,4116883
DIVS6,5286684,4887579,4537639,5643585,4971785,4376230,4673360
DIVS7,15347072,12651842,12910224,15299680,13775830,13228437,14387800
DIVS8,14723899,11233344,12821077,12754007,13987364,14280665,14339274
DIVS9,35728175,26660719,26768980,30761121,35269567,37150950,43136765
DIVS10,32785967,24040099,25978676,29041406,34867076,36294030,44531293
DIVS11,18281667,12497535,13826318,15731176,21643659,19592144,24570303
DIVS12,74021353,49535796,66982493,61390657,113265126,70205401,90197508
SCHCI1,3861795,4182000,4354737,4800615,4562987,4166712,4066500
SCHCI2,15643966,17718984,17744000,18782093,18277470,18139550,17261779
SCHCI3,32810687,35176348,37370483,38907943,40506662,40133959,41829248
SCHCI4,19718065,21184783,21643277,22865767,23388606,23037978,24837591
SCHCI5,15928479,16151765,18006125,16157458,18911478,19340457,19915697
SCHCI6,15098839,14077271,15513184,16635172,15568375,16164007,16241254
SCHCI7,32568939,30703304,31525276,33489171,33603542,32775318,33602202
SCHCI8,25969913,24981527,27154779,28267137,28665423,29524143,29467046
SCHCI9,65336863,59643326,61109586,62012660,65629215,68986830,73166412
SCHCI10,56849721,51243343,52462983,56229900,60376371,62543435,64339863
SCHCI11,18230713,16342050,17447161,18273547,20955171,20370157,24336412
SCHCI12,22862246,17482991,18443528,20789157,26005603,22180943,25594998
SCHCL1,17096805,23615909,15297436,13311123,11348675,12651863,12354487
SCHCL2,2886448,2612688,2553322,2513269,2557466,2371339,2434032
SCHCL3,4410676,4612940,4147220,4176833,4284263,4938514,5140959
SCHCL4,4174209,4139314,4437608,4690940,4817234,4691470,5221748
SCHCL5,3972540,3842911,4071080,3663890,3580427,3681412,3958878
SCHCL6,3457772,2802518,3158194,2539301,2694193,2958915,2908398
SCHCL7,6146078,6195421,5926556,5999063,5373609,5657921,5539151
SCHCL8,3988906,3988083,3346480,3696472,3703612,4161691,4457064
SCHCL9,6321968,6034367,5897725,6415410,6154756,6405239,6490396
SCHCL10,3415095,2794779,3048866,3298504,3187080,3431516,3616025
SCHCL11,1278398,1003955,993629,1018360,1097005,1236908,1383194
SCHCL12,3497045,2261983,2631420,2917638,3461046,3104158,3895905
CGNS1,16211373,12144507,13418750,13304275,14428895,14508251,15612179
CGNS2,1549174,934782,1505087,1295140,1229818,1685485,2270146
CGNS3,2498286,1630053,1863182,2050266,2028157,2888343,2962991
CGNS4,2145185,1652546,1985615,4276004,2533333,2973124,3549517
CGNS5,2411608,1657696,2404163,3603073,2512381,3025560,3521833
CGNS6,2599759,2012012,2527902,3336842,3081809,3759106,4589662
CGNS7,8820188,6948756,7379530,7910469,8891564,11115981,14461331
CGNS8,10441558,7978205,9598666,9081884,10748796,14207341,17043961
CGNS9,31373156,23952633,26763667,28254768,35335539,47090560,57165537
CGNS10,50087997,30237200,40690235,41843638,58348778,66464002,87558549
CGNS11,39960452,23507372,29561482,31293126,50833277,46215658,64043481
CGNS12,327048165,150443683,255929927,256317160,454884387,290389357,432228443
Pension1,2634611,3048017,3019087,3311680,3198148,3278360,2944415
Pension2,8511998,9196150,9125220,9066498,8836623,8655850,8940753
Pension3,32465978,34756106,34443034,34238102,34842492,34740528,33658222
Pension4,36496455,38818379,39037931,39633450,39640450,38223722,37426374
Pension5,38913024,40747842,41269621,40474163,41762823,41976069,39279325
Pension6,39281721,41237931,42725316,42732295,42779490,42768429,41937727
Pension7,97527478,103611407,106601449,109308787,110364786,114617816,114489831
Pension8,83565447,86463550,90747858,95264258,99246109,105661105,106719192
Pension9,123253254,126492414,143251212,154868942,168075509,184646200,200352837
Pension10,35042567,32477204,39434836,42620907,50409901,53533831,64882344
Pension11,4986282,4065039,5085121,5471520,7005128,6690135,8228164
Pension12,3590195,2381760,3800250,4189757,6382758,3867030,4364079
SCHEI1,6221364,7414836,8180195,9413701,10338891,10539154,10127896
SCHEI2,2205740,2741755,2594218,2468116,2430165,2644086,2483869
SCHEI3,5293042,5411179,5799461,5779572,5759527,5408151,5797044
SCHEI4,6586165,6667196,6228701,6644129,6874418,6622805,6303888
SCHEI5,6443930,7157324,6572653,6780817,6811257,7186324,7711064
SCHEI6,6354084,7148114,7482170,7000366,7653175,7229879,7714515
SCHEI7,20342241,20657784,22100124,21353161,24288474,23610189,21846112
SCHEI8,21805151,21881521,24857962,23766605,23310054,27242218,25585141
SCHEI9,73520846,71894468,73597397,79969841,84601226,89657812,94119700
SCHEI10,121294249,115709917,119471080,130162660,139929329,150797918,158089557
SCHEI11,92877158,83836255,88741916,94151132,109601420,115886407,126276082
SCHEI12,291493213,245620583,266768049,273841385,355426011,333888171,380276672
SCHEL1,106784760,102273445,76458675,69682703,55944890,57941413,52594426
SCHEL2,5099159,4280298,4358769,2734435,2796918,3055764,3189923
SCHEL3,6133077,5533235,5254152,4844737,3958452,3564551,3293436
SCHEL4,5956257,6335917,5232589,4541275,4009266,4035595,3903943
SCHEL5,5895147,6180464,5608126,4917169,4619472,4073615,4119738
SCHEL6,6709711,6069102,5750465,5308697,5306295,3951440,4043576
SCHEL7,14126612,14308984,13106511,11843900,11100823,11394122,10876335
SCHEL8,10706707,10503131,10600971,10340119,9254921,10555995,9158148
SCHEL9,18449377,17787485,16327034,16523544,15760042,17357909,17095089
SCHEL10,13970020,11425786,11682512,11949913,11507037,12927287,14976176
SCHEL11,7395327,5383069,5974659,6028750,6388914,6619578,7625718
SCHEL12,35155447,21107258,26304979,26600285,33118566,31694385,36071166
SS1,13247436,15357374,16910268,15922294,15471664,16271367,16387413
SS2,53914106,63682975,61474576,62725130,63212997,64924731,66227008
SS3,68483761,77678201,77734228,78027058,78315164,78825795,78240700
SS4,47175850,53568588,54821038,55136057,60391659,57970587,57961775
SS5,36443623,40475597,41617738,40712621,43378647,47679698,43890297
SS6,28379759,32074309,32276602,32109099,34592703,35121228,35702308
SS7,60825644,65792151,68835221,71576258,75987725,77686709,83556997
SS8,43217829,44763025,50470521,53712481,57779426,64106865,67427955
SS9,47114940,48747716,55294149,60482286,72380405,83153248,92077062
SS10,12833074,11767458,14572740,15978383,19076774,22188196,26754538
SS11,2409159,2037675,2405077,2758433,3597681,3620587,4376576
SS12,1542238,1142204,1443711,1559439,2329610,1993764,2524289
UCOMP1,190209,445003,531944,375668,287463,287225,112247
UCOMP2,2553924,5038700,5947533,5409058,4319136,2681243,1674530
UCOMP3,8059835,18372264,25176002,20233598,14419548,9825981,5577649
UCOMP4,7832715,16397637,25912819,18383972,13840459,9175970,5899192
UCOMP5,5517597,9712067,14593035,10470835,8196138,5958822,3978121
UCOMP6,4170977,7090478,9759213,7763641,5714693,4462035,2938680
UCOMP7,7000663,11856812,17732513,13046729,10182494,7994405,5317990
UCOMP8,3979331,6663079,10060433,7416371,6369005,5125591,3141435
UCOMP9,3772147,6856390,8996852,7918219,6697406,5487401,3874340
UCOMP10,525899,1009976,1383541,1246502,1085510,829935,774714
UCOMP11,52782,74895,116123,89276,91472,94671,0
UCOMP12,18615,20799,39954,29824,30807,0,0
IPD,497617809,442051459,393957879,383565099,354057732,317317182,307962385
Wage1,23883454,24117745,23024443,21437416,20445434,20280688,19421543
Wage2,98632349,92095026,91197071,92961755,93108807,94466204,94899140
Wage3,254845415,256072903,258538706,265080549,262184682,266041138,261995646
Wage4,378494522,370132580,370136849,373549061,371577702,380567075,381259619
Wage5,420337671,409416983,409400177,410623212,408353008,408654349,418567676
Wage6,406847030,389507608,393259205,391671646,391349650,410049846,418379915
Wage7,935297197,906062360,890711967,900170384,902783183,915963625,916618937
Wage8,794320811,779929943,784109315,791646425,798324358,822009437,840581301
Wage9,1431970077,1420675682,1446167263,1521442934,1599743841,1665691829,1759304940
Wage10,666055096,633228399,678302347,750627685,806518068,872227137,955295796
Wage11,209788740,186865034,206877573,230634407,259165177,272996984,310372311
Wage12,330162467,238984223,285625448,305543960,387803684,346432571,408251028